uncertainty method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
none,0.7488,0.3666,0.0441,0.7034,0.2759,0.0762,0.0039,0.0053,0.0027,0.0491,0.0050,0.0013
ensemble,0.7513,0.3530,0.0628,0.6624,0.3381,0.0810,0.0040,0.0065,0.0020,0.0396,0.0060,0.0010
ensemble,0.7462,0.3383,0.0785,0.7313,0.4575,0.0872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-dkl-s1,0.7485,0.3677,0.2418,0.4028,0.4473,0.1325,0.0056,0.0063,0.0011,0.0228,0.0010,0.0005
GraphCL-dkl-s2,0.7482,0.3624,0.2418,0.3913,0.4476,0.1327,0.0065,0.0096,0.0017,0.0223,0.0010,0.0004
GraphCL-dkl-s3,0.7484,0.3685,0.2421,0.3948,0.4473,0.1326,0.0053,0.0084,0.0018,0.0327,0.0009,0.0004
GraphCL-dkl-s4,0.7484,0.3643,0.2419,0.3882,0.4477,0.1327,0.0041,0.0051,0.0018,0.0213,0.0007,0.0003
nopretrain-none,0.7418,0.3370,0.0411,0.6977,0.2818,0.0771,0.0049,0.0017,0.0019,0.0324,0.0034,0.0007
nopretrain-focal,0.7370,0.3343,0.0971,0.5875,0.3094,0.0846,0.0063,0.0070,0.0039,0.0326,0.0040,0.0012
GraphCL-fdkl,0.7470,0.3611,0.2392,0.3884,0.4448,0.1315,0.0065,0.0090,0.0009,0.0289,0.0016,0.0007
GraphCL-fdkl,0.7475,0.3560,0.2393,0.3857,0.4453,0.1317,0.0036,0.0070,0.0013,0.0298,0.0013,0.0006
nopretrain-dkl-s2,0.7348,0.3467,0.2409,0.3956,0.4507,0.1342,0.0032,0.0083,0.0026,0.0163,0.0023,0.0010
GraphCL-dkl-s1,0.7459,0.3617,0.2418,0.4133,0.4474,0.1326,0.0043,0.0050,0.0014,0.0286,0.0009,0.0004
GraphCL-focal-s2,0.7511,0.3660,0.0877,0.5477,0.2943,0.0808,0.0055,0.0103,0.0034,0.0660,0.0041,0.0012
GraphCL-dkl-s2,0.7476,0.3665,0.2421,0.3997,0.4477,0.1328,0.0036,0.0034,0.0015,0.0088,0.0021,0.0010
